,pVA_aud,pVA_pad,pVA,sil_loss,epoch
SSL_TIE_PlacesAudio-lr1e-4-B128-fMISA-SdT128-epoch33.pth.tar,0.0014443875756114722,0.00194338362198323,0.0033877712208777665,0.049782498925924304,33
SSL_TIE_PlacesAudio-lr1e-4-B128-fMISA-SdT128-epoch25.pth.tar,0.0014349283650517465,0.00192567587364465,0.003360604261979461,0.040048090368509294,25
SSL_TIE_PlacesAudio-lr1e-4-B128-LVS-SdT128-epoch29.pth.tar,0.0020028548780828713,0.0020821051206439734,0.004084959998726845,0.0016977807506918907,29
SSL_TIE_PlacesAudio-lr1e-4-B128-LVS-SdT128-epoch22.pth.tar,0.001681607379578054,0.0017183091025799514,0.0033999165054410694,0.0015391237335279583,22
SSL_TIE_PlacesAudio-lr1e-4-B128-LVS-SdT128-epoch17.pth.tar,0.0018183550564572215,0.0018989457748830318,0.00371730076149106,0.0010707270121201873,17
SSL_TIE_PlacesAudio-lr1e-4-B128-LVSa1-SdT128-show-epoch32.pth.tar,0.0021928764414042234,0.00227455860003829,0.0044674350880086425,0.0021896541584283113,32
SSL_TIE_PlacesAudio-lr1e-4-B128-LVSa1-SdT128-show-epoch25.pth.tar,0.0024792798794806004,0.0024371153209358453,0.004916395246982575,0.0029771246016025545,25
SSL_TIE_PlacesAudio-lr1e-4-B128-M2Le12-SdT128-O1-epoch33.pth.tar,0.001980062294751406,0.001895325118675828,0.003875387366861105,0.005736286472529173,33
SSL_TIE_PlacesAudio-lr1e-4-B128-M2Le12-SdT128-O1-epoch25.pth.tar,0.0014736309414729476,0.001307626604102552,0.0027812575455754994,0.003279320243746042,25
SSL_TIE_PlacesAudio-lr1e-4-B128-M2Le12-SdT128-O1-epoch20.pth.tar,0.0013535058358684182,0.0011036647949367762,0.0024571706540882587,0.0019136370159685613,20
SSL_TIE_PlacesAudio-lr1e-4-B128-M2Le12-SdT128-O1-epoch12.pth.tar,0.0017065208638086915,0.0015267237788066268,0.003233244689181447,0.03521457388997078,12
SSL_TIE_PlacesAudio-lr1e-4-B128-MISA-SdT128-Sil-O1-epoch44.pth.tar,0.00104012880474329,0.0010166259249672293,0.0020567547529935838,0.007161739747971296,44
SSL_TIE_PlacesAudio-lr1e-4-B128-S2Me10-SdT128-epoch40.pth.tar,0.0014954577665776015,0.0019161219708621502,0.0034115796908736227,0.04200541749596596,40
SSL_TIE_PlacesAudio-lr1e-4-B128-S2Me20-SdT128-epoch26.pth.tar,0.0017982659162953496,0.002091370616108179,0.0038896364159882067,0.03573042452335358,26
SSL_TIE_PlacesAudio-lr1e-4-B128-S2Me20-SdT128-epoch40.pth.tar,0.001599231129512191,0.00190235897898674,0.0035015900619328024,0.03328157216310501,40
SSL_TIE_PlacesAudio-lr1e-4-B128-S2Me20-SdT128-epoch57.pth.tar,0.0015129735926166176,0.0020260078832507133,0.0035389814991503956,0.04848650097846985,57
SSL_TIE_PlacesAudio-lr1e-4-B128-SISA-SdT128-epoch4.pth.tar,0.0027976321987807752,0.002625897014513612,0.005423529166728258,0.07232975363731384,4
SSL_TIE_PlacesAudio-lr1e-4-B128-SISA-SdT128-epoch20.pth.tar,0.0028818130493164064,0.0021924535278230904,0.005074266623705625,0.061073831468820575,20
SSL_TIE_PlacesAudio-lr1e-4-B128-SISA-SdT128-epoch33.pth.tar,0.0028346495702862738,0.002188435383141041,0.005023085046559572,0.060471297800540925,33
SSL_TIE_PlacesAudio-lr1e-4-B128-MISA-SdT128-Sil-O1-epoch39.pth.tar,0.0010710826143622398,0.0010432257782667874,0.0021143083926290275,0.007654689531773329,39
